"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Cellular Processes","Cell motility","ko02040","Flagellar assembly","37/202","55/14536",0.672727272727273,48.4097209720972,41.8166242102898,7.11264509048578e-57,1.07400940866335e-54,9.05926374682926e-55,"K02419/K02418/K02417/K02416/K02415/K02414/K02413/K02412/K02411/K02410/K02409/K02408/K10941/K03092/K02422/K02407/K02406/K02397/K02396/K02395/K02394/K02393/K02392/K02391/K02390/K02389/K02388/K02387/K02386/K02398/K02557/K02556/K02420/K02421/K02401/K02400/K02405",37
"Cellular Processes","Cell motility","ko02030","Bacterial chemotaxis","15/202","26/14536",0.576923076923077,41.5156130997715,24.5456696934734,5.563089018618e-22,4.20013220905659e-20,3.54280932238305e-20,"K03406/K05874/K02417/K02416/K02410/K03415/K03408/K03412/K02557/K02556/K00575/K03411/K03413/K03414/K03407",15
"Cellular Processes","Cellular community - prokaryotes","ko02025","Biofilm formation","10/202","90/14536",0.111111111111111,7.995599559956,7.90263446030209,4.68028481522907e-07,2.35574335699863e-05,1.98706828997445e-05,"K02658/K02657/K10941/K02398/K11900/K11903/K21023/K02405/K11891/K11902",10
"Environmental Information Processing","Membrane transport","ko03070","Bacterial secretion system","8/202","74/14536",0.108108108108108,7.77950227455178,6.94063162468165,8.31938087922507e-06,0.000314056628190746,0.000264906601680588,"K03205/K03198/K02456/K03194/K11903/K03210/K11891/K11892",8
"Metabolism","Global and overview maps","ko01200","Carbon metabolism","16/202","383/14536",0.04177545691906,3.00617842463098,4.72328543979074,9.11126074022962e-05,0.00275160074354934,0.00232097378856376,"K01638/K01637/K02437/K00033/K00121/K01070/K00297/K03781/K01834/K00616/K01679/K00241/K00023/K00626/K00281/K00283",16
"Metabolism","Carbohydrate metabolism","ko00630","Glyoxylate and dicarboxylate metabolism","8/202","120/14536",0.0666666666666667,4.7973597359736,4.95849043834972,0.000269162497396822,0.00602900774172224,0.00508546487799506,"K01638/K01637/K02437/K03781/K00023/K00626/K00281/K00283",8
"Metabolism","Global and overview maps","ko01240","Biosynthesis of cofactors","15/202","380/14536",0.0394736842105263,2.84054194893174,4.31585399593572,0.000279490425112952,0.00602900774172224,0.00508546487799506,"K00059/K02496/K01920/K00763/K00457/K01633/K01497/K03809/K02492/K02169/K00228/K01698/K00788/K00868/K08973",15
"Human Diseases","Drug resistance: antimicrobial","ko01503","Cationic antimicrobial peptide (CAMP) resistance","5/202","54/14536",0.0925925925925926,6.66299963329666,4.94912752567148,0.000897540778801346,0.0169410821998754,0.0142897939782846,"K03673/K04771/K18138/K03585/K03760",5
"Cellular Processes","Cellular community - prokaryotes","ko02026","Biofilm formation","5/202","61/14536",0.0819672131147541,5.89839311800032,4.55102027467663,0.00156120282386898,0.0261935140449129,0.0220942154021225,"K00694/K02398/K03566/K04761/K02405",5
