"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Metabolism","Global and overview maps","ko01200","Carbon metabolism","22/425","383/14536",0.0574412532637076,1.96462601750883,3.32014607937272,0.00206168992510996,0.0104851659048449,0.00744068544400585,"K00058/K00297/K00845/K01595/K00023/K00029/K00627/K09788/K00024/K00382/K01902/K01903/K02160/K01961/K00163/K01738/K00927/K01690/K01625/K01754/K21071/K00658",22
"Metabolism","Metabolism of cofactors and vitamins","ko00670","One carbon pool by folate","7/425","65/14536",0.107692307692308,3.68333031674208,3.76274364669431,0.00280773398605774,0.013882684708841,0.00985169819669382,"K00297/K11175/K01251/K00287/K00382/K01758/K00548",7
"Metabolism","Metabolism of cofactors and vitamins","ko00860","Porphyrin metabolism","11/425","142/14536",0.0774647887323944,2.64947804473902,3.42785978843515,0.00303031517389636,0.0145782729987446,0.0103453149606703,"K01599/K02231/K02232/K02225/K02227/K19221/K02303/K01885/K02257/K02302/K01845",11
"Metabolism","Global and overview maps","ko01212","Fatty acid metabolism","8/425","84/14536",0.0952380952380952,3.25736694677871,3.6008158813245,0.00313237888718672,0.0146727221557694,0.0104123397912024,"K09458/K00059/K00645/K00648/K00647/K02160/K01961/K02372",8
"Metabolism","Glycan biosynthesis and metabolism","ko00511","Other glycan degradation","4/425","22/14536",0.181818181818182,6.21860962566845,4.25104477386371,0.00346916660659049,0.0154377913993277,0.0109552629681805,"K01206/K01192/K15923/K01190",4
"Human Diseases","Drug resistance: antimicrobial","ko01502","Vancomycin resistance","4/425","22/14536",0.181818181818182,6.21860962566845,4.25104477386371,0.00346916660659049,0.0154377913993277,0.0109552629681805,"K01929/K01000/K02563/K01921",4
NA,NA,"ko01320","Sulfur cycle","6/425","52/14536",0.115384615384615,3.94642533936652,3.69382181395045,0.00393785572505939,0.017096056562453,0.012132033042545,"K00955/K00957/K00380/K00381/K00390/K01738",6
"Metabolism","Carbohydrate metabolism","ko00020","Citrate cycle (TCA cycle)","7/425","70/14536",0.1,3.42023529411765,3.5225362145704,0.00426959119898543,0.0180949341290335,0.0128408757864223,"K00627/K00024/K00382/K01902/K01903/K00163/K00658",7
"Cellular Processes","Cellular community - prokaryotes","ko02025","Biofilm formation","8/425","90/14536",0.0888888888888889,3.0402091503268,3.36934302423237,0.00478899431236746,0.0198242090139862,0.0140680371477135,"K06598/K06596/K10914/K01658/K01657/K11901/K11895/K20997",8
"Genetic Information Processing","Folding, sorting and degradation","ko03018","RNA degradation","7/425","79/14536",0.0886075949367089,3.03058823529412,3.14064904147813,0.00826122785895857,0.0334204217930597,0.0237164436142351,"K05592/K00962/K03628/K03732/K11927/K12573/K08300",7
"Metabolism","Carbohydrate metabolism","ko00052","Galactose metabolism","7/425","81/14536",0.0864197530864197,2.95575889615105,3.06317538161522,0.00943219505020983,0.0373095715319411,0.0264763369830451,"K00845/K12308/K01187/K01684/K00883/K21071/K01190",7
"Metabolism","Amino acid metabolism","ko00380","Tryptophan metabolism","7/425","82/14536",0.0853658536585366,2.91971305595409,3.02532688404958,0.0100611565437778,0.0389323014085315,0.0276278898227308,"K01426/K00382/K00452/K00128/K00274/K00658/K00453",7
"Metabolism","Metabolism of terpenoids and polyketides","ko00900","Terpenoid backbone biosynthesis","6/425","64/14536",0.09375,3.20647058823529,3.07006054256438,0.0108309100866461,0.0410191913919787,0.0291088289002806,"K00795/K00919/K01770/K00991/K00806/K00099",6
"Metabolism","Metabolism of cofactors and vitamins","ko00785","Lipoic acid metabolism","4/425","31/14536",0.129032258064516,4.41320683111954,3.30147242038512,0.0121394997754394,0.0450173116672544,0.0319460520406299,"K00627/K00382/K00163/K00658",4
"Metabolism","Carbohydrate metabolism","ko00500","Starch and sucrose metabolism","8/425","107/14536",0.0747663551401869,2.55718526663002,2.80567359726161,0.0131559362315856,0.0477909520249434,0.0339143361501668,"K01179/K00845/K05349/K01087/K01176/K05341/K01187/K00847",8
"Organismal Systems","Environmental adaptation","ko04626","Plant-pathogen interaction","7/425","87/14536",0.0804597701149425,2.75191345503719,2.84430697319307,0.0136718269601706,0.0483686809632587,0.0343243152903077,"K08598/K18879/K13409/K13408/K13454/K02358/K13472",7
"Metabolism","Carbohydrate metabolism","ko00010","Glycolysis / Gluconeogenesis","8/425","108/14536",0.0740740740740741,2.53350762527233,2.77598962016307,0.0138584422984617,0.0483686809632587,0.0343243152903077,"K00845/K01085/K00627/K00382/K00128/K00163/K00927/K21071",8
