,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
E2P69_RS00190,74.68464918,-0.893456453,0.617400039,-1.447127302,0.147861273,0.352656725
E2P69_RS00195,1276.079543,-0.156225689,0.261955473,-0.596382612,0.550919654,0.757856879
E2P69_RS00200,123.8966953,-0.24711376,0.460748385,-0.536331255,0.591729633,0.788450642
E2P69_RS00205,257.2133202,0.037248989,0.363946703,0.102347374,0.918480954,0.965048733
E2P69_RS00210,524.7117212,-1.051148898,0.412709756,-2.546944635,0.010867067,0.056886594
E2P69_RS00215,1582.012687,-0.523971263,0.276774668,-1.89313302,0.058340182,0.1922661
E2P69_RS00220,1941.592094,1.228242148,0.211008286,5.820824237,5.86E-09,2.46E-07
E2P69_RS00225,593.6086232,-0.526081772,0.351655872,-1.496013048,0.134650255,0.332193871
E2P69_RS00235,1847.884869,0.6908738,0.21142269,3.267737257,0.00108411,0.009477216
E2P69_RS00245,3209.279635,0.621721159,0.20718143,3.000853696,0.002692239,0.018856377
E2P69_RS00250,1468.49829,1.07651812,0.299425582,3.595277712,0.000324046,0.003512656
E2P69_RS00255,654.4786973,0.340518364,0.248846072,1.368389548,0.171190174,0.384455574
E2P69_RS00260,4566.459992,0.168430333,0.190401376,0.884606702,0.376368791,0.616432938
E2P69_RS00265,549.7782414,0.141864696,0.282061042,0.502957427,0.614994205,0.805436648
E2P69_RS00270,670.6933208,-0.073512498,0.27898474,-0.263500068,0.792165171,0.909577593
E2P69_RS00275,162.2963428,0.147872298,0.480009958,0.308060897,0.758035995,0.890717178
E2P69_RS00280,248.8345783,-0.099148984,0.307225154,-0.322724173,0.746904143,0.884187936
E2P69_RS00285,98.39554872,-0.466128639,0.539802601,-0.863516844,0.387853362,0.625985662
E2P69_RS00290,58.65102046,-0.990059407,0.927199483,-1.06779547,0.285612782,NA
E2P69_RS00295,96.90517196,-0.139579167,0.53158051,-0.262573898,0.792879021,0.909577593
E2P69_RS00300,112.049861,0.69929392,0.492151188,1.420892476,0.155348021,0.362444422
E2P69_RS00315,28.3389963,-1.747604188,0.810118335,-2.157220881,0.030988458,NA
E2P69_RS00320,55.93716046,-0.345651988,0.647468084,-0.533851778,0.593444087,NA
E2P69_RS00325,49.34832593,-0.876252572,0.729338196,-1.201435187,0.229582434,NA
E2P69_RS00330,114.9210509,-0.648257158,0.473533287,-1.36897907,0.171005818,0.384455574
E2P69_RS00335,38.08666954,-0.063442457,0.889492903,-0.071324298,0.943139657,NA
E2P69_RS00340,217.6500391,0.072990648,0.400718825,0.182149287,0.85546557,0.934109617
E2P69_RS00350,216.3380279,-0.157155227,0.386473299,-0.406639289,0.684272936,0.846397238
E2P69_RS00355,1488.915666,0.254377493,0.251322563,1.012155415,0.31146375,0.552741226
E2P69_RS00360,159.9921278,-0.510743346,0.362901458,-1.407388518,0.159312214,0.367785962
E2P69_RS00365,149.3627285,-0.082205553,0.474460178,-0.173261228,0.862446098,0.93720284
E2P69_RS00370,190.797484,-0.791341185,0.355015578,-2.229032285,0.025811757,0.108384766
E2P69_RS00380,287.1164014,-3.452639787,0.393078379,-8.783591182,1.58E-18,4.65E-16
E2P69_RS00385,535.044433,-3.222513174,0.292942255,-11.00050648,3.80E-28,6.69E-25
E2P69_RS00390,134.1676675,-0.339806692,0.417283865,-0.814329812,0.415456036,0.650511828
E2P69_RS00395,80.0199166,0.421112996,0.701619618,0.600201285,0.548372097,0.75583525
E2P69_RS00400,86.37029546,-0.144937015,0.542252859,-0.267286769,0.789248373,0.908063981
E2P69_RS23275,50.8927563,-3.0288735,0.789015102,-3.838802947,0.000123636,NA
E2P69_RS23050,259.8414524,-0.795859481,0.322486072,-2.467887916,0.013591287,0.067534702
E2P69_RS00415,17.21812887,-1.269603706,1.348969411,-0.941165675,0.346619964,NA
E2P69_RS00420,1010.916317,-0.364477868,0.3720788,-0.979571713,0.327297574,0.568117821
E2P69_RS00425,565.4925444,-0.727768862,0.423778091,-1.717334796,0.085918018,0.246331629
E2P69_RS22795,371.8023926,-0.06832146,0.480337643,-0.142236323,0.886893342,0.948838519
E2P69_RS00440,1539.848173,-1.6039064,0.263999539,-6.075413649,1.24E-09,5.73E-08
E2P69_RS00445,34.58633992,-0.361382906,0.778248714,-0.464354003,0.642394139,NA
E2P69_RS00450,239.3847402,-0.712305387,0.372744764,-1.910973555,0.056007979,0.186852378
E2P69_RS00455,53.23110027,-0.396470171,0.689680752,-0.574860427,0.565385696,NA
E2P69_RS00460,165.4132415,-0.47246269,0.406468133,-1.162360961,0.245088874,0.479160989
E2P69_RS00465,294.093516,-0.288818844,0.291022483,-0.992427942,0.320988814,0.562049499
E2P69_RS00470,35.6263124,-0.607596233,0.819004889,-0.741871314,0.458165308,NA
E2P69_RS00475,303.8189959,-0.275634605,0.350660927,-0.786043106,0.431842234,0.662333561
E2P69_RS00480,499.8625741,-3.207775338,0.361582429,-8.871491197,7.22E-19,2.54E-16
E2P69_RS00485,322.6123211,-1.845117156,0.342888326,-5.381102297,7.40E-08,2.41E-06
E2P69_RS00495,500.2521858,-2.725271863,0.310217764,-8.785028384,1.56E-18,4.65E-16
E2P69_RS00500,309.65056,-1.804394502,0.348039743,-5.184449587,2.17E-07,6.26E-06
E2P69_RS00505,323.4838895,-1.171492843,0.292176796,-4.00953416,6.08E-05,0.000827547
E2P69_RS00510,243.7070859,-1.283064623,0.374195287,-3.428863662,0.000606114,0.005882478
E2P69_RS00515,35.11335603,-1.246152522,0.750816705,-1.659729351,0.096968912,NA
E2P69_RS00520,53.68024752,-0.294719843,0.659174721,-0.447104286,0.654799765,NA
E2P69_RS00525,2.066635284,0.07608767,2.988188807,0.025462805,0.979685816,NA
E2P69_RS00530,14.76275115,-0.083543262,1.401095393,-0.059627105,0.95245263,NA
E2P69_RS00535,51.38906921,-0.29871514,0.657281212,-0.454470833,0.649489981,NA
E2P69_RS00540,169.2435391,0.293675842,0.526024502,0.558293085,0.576644266,0.779254986
E2P69_RS00545,280.7284094,0.322123636,0.330714693,0.974022754,0.330045242,0.570339376
E2P69_RS00550,306.7525914,0.032107569,0.368159268,0.087211084,0.930503729,0.972251937
E2P69_RS00560,296.6803267,0.25178374,0.43514359,0.578622198,0.562844123,0.767376102
E2P69_RS00565,84.10199518,1.249739275,0.66516217,1.878848996,0.060265115,0.195861623
E2P69_RS00570,34.19386865,0.532662832,0.791785214,0.672736523,0.501114928,NA
E2P69_RS00575,19.97444409,0.486392016,1.49362811,0.325644659,0.74469322,NA
E2P69_RS00580,74.58602828,0.516527185,0.556884225,0.927530647,0.353651087,0.593009415
E2P69_RS00585,1004.069533,-0.628495626,0.22804621,-2.756001191,0.005851278,0.035117638
E2P69_RS00590,1720.898182,-0.048220586,0.210906055,-0.228635381,0.819152323,0.919384597
