"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"E2P69_RS14870",57.6301692046281,1.52144673367249,0.828264081511898,1.83691019281588,0.0662231543213114,0.109133455817539
"E2P69_RS14875",3161.53852632549,0.39420181398193,0.313988897969357,1.25546417892903,0.209310303904186,0.290914121154402
"E2P69_RS14880",3327.92326256532,-0.456632354170807,0.339047971333398,-1.34680751037966,0.178042235263075,0.255369382146591
"E2P69_RS14885",5946.63139868307,-0.606653798155588,0.268513542249377,-2.25930429085089,0.0238644631944731,0.0445762095764206
"E2P69_RS14890",8013.39925127684,-2.40525782090304,0.312675407788282,-7.69250718474054,1.44279376392321e-14,1.50824380684804e-13
"E2P69_RS14895",854.905466830947,-0.656043053081684,0.293480955575157,-2.23538543342953,0.025392055586709,0.0471550595957983
"E2P69_RS14900",2631.19220918242,-0.813553339891702,0.294566506620286,-2.76186640913802,0.00574719887250596,0.0126565820999062
"E2P69_RS14905",1592.77979525106,-0.769131848276331,0.277450320225221,-2.77214258629071,0.00556886373284745,0.0123087357009057
"E2P69_RS14910",2255.197948284,-1.62556253144231,0.257054183654777,-6.32381277880869,2.55186886817676e-10,1.78888152086811e-09
"E2P69_RS14915",17299.448709092,-0.947259592358282,0.303895725892508,-3.11705467254035,0.00182667692636023,0.00448180556461678
"E2P69_RS14920",17824.2988864253,-0.735565279982843,0.227077946107704,-3.23926340092033,0.00119838846318959,0.00305904423498395
"E2P69_RS14925",7294.35058838538,-0.69485309917122,0.242782784806104,-2.86203611893718,0.00420928934719679,0.00956781791125767
"E2P69_RS14930",25874.915525898,-0.906183334595006,0.26460638783858,-3.42464647961489,0.000615599889781438,0.00167057068333011
"E2P69_RS14935",2937.0883793444,-0.608637671192649,0.327609091329103,-1.85781679233448,0.0631950356523361,0.104639338509684
"E2P69_RS14940",9459.09063711184,-0.642808896336453,0.246672191719323,-2.60592364245045,0.00916268854631448,0.0191802512701028
"E2P69_RS14945",2921.54570245844,-0.0813674782463697,0.291255088935171,-0.279368434535682,0.779962092673815,0.837380151490986
"E2P69_RS14950",1766.43952418715,0.150575537563672,0.290000175134192,0.519225678032768,0.603603374523218,0.687876960419766
"E2P69_RS14955",651.463702882271,-1.67785033580364,0.334989185190293,-5.00867016005463,5.48074072116343e-07,2.42419613446157e-06
"E2P69_RS14960",2221.49738275784,0.119581251555702,0.250462624245375,0.477441502164209,0.63304776700923,0.715179370583829
"E2P69_RS14965",161.023843101686,-0.0407614565551954,0.547278021341731,-0.0744803463060014,0.940628179101487,0.957150557460918
"E2P69_RS14970",1121.6430364647,-0.71292444636751,0.342365947403003,-2.08234624902201,0.0373108543193644,0.0659274249522226
"E2P69_RS14975",269.111618927106,-4.26901049528117,0.63058174969901,-6.76995567556287,1.28821856054314e-11,1.04536179300105e-10
"E2P69_RS14985",992.171412170602,-1.63987930761082,0.364341931139805,-4.50093488410909,6.76552313925694e-06,2.57237894383233e-05
"E2P69_RS14990",5460.1258445888,-0.991718597642764,0.257806510563756,-3.84675544257642,0.000119692333707164,0.0003654734435524
"E2P69_RS14995",12698.2301930067,-1.18890186891001,0.25390354806752,-4.68249411226757,2.834053304829e-06,1.12045842032623e-05
"E2P69_RS15000",3361.12854211882,0.033240127604966,0.251926868795085,0.131943558715856,0.895028934915368,0.926343843060049
"E2P69_RS15005",2265.44305257853,0.451234650296593,0.241004528432637,1.87230776629459,0.0611640369381282,0.101720573392716
"E2P69_RS15010",7662.48430543141,0.836592026753515,0.290649339709103,2.87835516017624,0.00399754802852376,0.00915135720470506
"E2P69_RS15015",4676.05260329288,-1.0484250988298,0.250673688254856,-4.18242978004091,2.88410110221577e-05,9.85224053836361e-05
"E2P69_RS15020",441.487675993096,-0.399841828820841,0.357185714458499,-1.11942278942205,0.262959813126966,0.352000398237618
"E2P69_RS15025",697.002644718831,0.932090907088726,0.305936344951748,3.04668249611119,0.00231381973418734,0.00554970794209051
"E2P69_RS15030",1577.2272824077,1.22375015310532,0.277324994678395,4.41269332583767,1.02092561181403e-05,3.75841193899057e-05
"E2P69_RS15035",2042.21076401738,0.957048135274261,0.265385678700148,3.60625388665227,0.000310649211559382,0.000885658141773195
