"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Metabolism","Glycan biosynthesis and metabolism","ko00543","Exopolysaccharide biosynthesis","5/51","73/14533",0.0684931506849315,19.5178619392963,9.41242733730002,5.46133143693214e-06,0.00038229320058525,0.000287438496680639,"K13657/K13658/K13659/K13665/K13660",5
"Metabolism","Carbohydrate metabolism","ko00053","Ascorbate and aldarate metabolism","4/51","63/14533",0.0634920634920635,18.0927482103953,8.06828843330485,6.87767231396576e-05,0.00240718530988802,0.0018099137668331,"K00064/K01053/K08679/K13877",4
"Metabolism","Lipid metabolism","ko00061","Fatty acid biosynthesis","3/51","40/14533",0.075,21.3720588235294,7.65630599225027,0.000367058555514737,0.0085646996286772,0.0064396237809603,"K00059/K02160/K01961",3
"Metabolism","Carbohydrate metabolism","ko00500","Starch and sucrose metabolism","4/51","107/14533",0.0373831775700935,10.6527396005131,5.94706967260064,0.000531912952686511,0.00930847667201394,0.00699885464061198,"K16147/K05343/K00700/K01179",4
"Metabolism","Global and overview maps","ko01232","Nucleotide metabolism","4/51","123/14533",0.032520325203252,9.26701737605612,5.46390232151942,0.000897975516400037,0.0125716572296005,0.0094523738568425,"K13483/K11178/K11177/K00945",4
"Metabolism","Global and overview maps","ko01230","Biosynthesis of amino acids","5/51","241/14533",0.020746887966805,5.91204946708974,4.56308186434221,0.00151792079532722,0.0177090759454842,0.0133150946958528,"K01739/K00641/K01778/K00548/K01953",5
"Metabolism","Global and overview maps","ko01212","Fatty acid metabolism","3/51","84/14533",0.0357142857142857,10.1771708683473,5.00567992574976,0.00317623541852253,0.0317623541852253,0.0238814693121995,"K00059/K02160/K01961",3
